
Skjervøy	70°05′07″N	20°39′34″E
Nordreisa	69°42′18″N	21°12′33″E
Kvænangen	69°53′39″N	21°58′49″E
Kautokeino	69°00′42″N	23°02′36″E
Loppa	70°14′22″N	22°20′55″E
Hasvik	70°35′30″N	22°18′10″E
Måsøy	70°59′48″N	24°39′41″E
Nordkapp	70°58′41″N	25°58′29″E
Porsanger	70°03′08″N	24°57′21″E
Karasjok	69°28′55″N	25°06′18″E
Lebesby	70°56′43″N	27°21′04″E
Gamvik	71°02′28″N	27°51′05″E
Berlevåg	70°51′29″N	29°05′06″E
Tana	70°11′58″N	28°11′09″E
Nesseby	70°10′24″N	28°33′13″E
Båtsfjord	70°38′07″N	29°43′15″E
Sør-Varanger	69°43′43″N	30°02′30″E
